vol*pri,symbol,date,name
25137573660,TSLA,2025-04-23,Tesla Motors
12682752452,AAPL,2025-04-30,Apple Inc.
10683237024,MSFT,2025-04-23,Microsoft Corp.
10474270001,META,2025-04-22,
9016263205,AMZN,2025-04-28,Amazon.Com
5351366426,GOOGL,2025-04-23,
4341566509,SMCI,2025-04-28,Super Micro Computer
3142996407,AMD,2025-04-28,Advanced Micro Devices
2659230514,LLY,2025-05-01,Eli Lilly And Company
2217260383,INTC,2025-04-23,Intel Corp.
1775411056,MRK,2025-04-24,Merck & Company
1768238307,BKNG,2025-04-30,
1698941572,ETN,2025-04-28,Eaton Corp.
1583264863,QCOM,2025-04-29,Qualcomm Inc.
1570168466,NOW,2025-04-22,Servicenow Inc.
1511927821,KO,2025-04-28,Coca-Cola Company
1509967179,BA,2025-04-22,
1485106565,SBUX,2025-04-28,Starbucks Corp.
1460514281,PG,2025-04-24,Procter & Gamble Company
1415246176,HON,2025-04-23,Honeywell International Inc.
1357715631,PM,2025-04-23,Philip Morris International Inc
1327648539,AMGN,2025-04-30,Amgen Inc.
1286720727,ABBV,2025-04-24,Abbvie Inc. Common Stock
1167891798,PFE,2025-04-29,Pfizer
1165267622,GILD,2025-04-23,Gilead Sciences
1151732280,IBM,2025-04-22,International Business Machines Corp.
1110414009,TMUS,2025-04-23,T-Mobile US Inc.
1105725796,PEP,2025-04-21,Pepsico
1088567796,CDNS,2025-04-21,Cadence Design Systems
1063403801,MDLZ,2025-04-28,Mondelez International Inc. Cl A
1044985376,MCD,2025-04-28,Mcdonald's Corp.
1029984837,DHR,2025-04-21,Danaher Corp.
1020828564,CMCSA,2025-04-23,Comcast Corp.
993774799.1,NEM,2025-04-23,Newmont Mining Corp.
979718493,MA,2025-04-29,Mastercard Inc.
977467607.8,LRCX,2025-04-22,Lam Research Corp.
968714094.3,PYPL,2025-04-28,
966782076.1,LIN,2025-04-30,Lin Media Llc
935505670.8,CVX,2025-04-24,Chevron Corp.
