Date,Open,High,Low,Close,Volume
2025-03-19,82.55,82.77,81.46,82.65,649567
2025-03-18,83.37,83.38,81.71,82.06,1668700
2025-03-17,80.52,83.69,80.38,82.79,2590600
2025-03-14,79.75,81.51,79.28,80.73,2371000
2025-03-13,79.21,80.53,78.6,78.66,2447200
2025-03-12,81.33,81.71,79.32,79.66,4648000
2025-03-11,83.83,84.16,80.55,80.65,4424300
2025-03-10,86.48,87.38,83.81,84.15,3873400
2025-03-07,82.34,88.01,82.13,87.52,4500000
2025-03-06,81.86,83.45,81.73,82.81,2233100
2025-03-05,81.73,82.98,81.13,82.82,2424900
2025-03-04,80.55,82.73,79.9,82.18,3101400
2025-03-03,81.29,83.11,80.43,81.0,3951100
2025-02-28,79.68,81.66,79.13,80.68,5814700
2025-02-27,79.6,80.08,77.82,77.87,3709000
2025-02-26,78.12,79.94,77.64,79.58,3712800
2025-02-25,77.5,78.79,76.6,78.05,4083800
2025-02-24,77.9,79.7,75.5,77.65,7013700
2025-02-21,89.0,89.89,76.5,76.73,20732300
2025-02-20,100.34,100.66,97.22,98.03,3071600
2025-02-19,98.95,100.32,97.44,100.26,2223500
2025-02-18,100.01,100.3,98.51,99.32,1734200
2025-02-14,100.06,101.62,99.7,100.01,1466600
2025-02-13,100.58,100.75,98.97,99.66,1964200
2025-02-12,100.69,101.39,99.86,101.06,1336700
2025-02-11,101.34,101.72,100.56,101.38,1619000
2025-02-10,100.37,103.75,99.96,102.1,3112200
2025-02-07,99.73,100.11,98.56,99.64,1484500
2025-02-06,100.95,101.83,99.49,99.61,1454800
2025-02-05,99.97,101.02,99.01,100.89,1274900
2025-02-04,97.68,99.97,97.68,99.87,1458300
2025-02-03,98.4,98.7,96.76,98.0,1796600
2025-01-31,101.95,102.37,99.74,99.9,1526400
2025-01-30,101.04,101.87,100.51,101.48,1806600
2025-01-29,100.6,101.0,99.58,100.41,1366400
2025-01-28,99.95,100.77,98.9,100.54,1869400
2025-01-27,97.0,100.15,96.9,99.67,2483500
2025-01-24,96.14,97.77,95.87,97.7,1805700
2025-01-23,95.2,96.05,93.48,95.89,1357700
2025-01-22,94.85,95.13,93.3,95.11,1370000
2025-01-21,92.0,94.97,91.86,94.71,2960600
2025-01-17,91.72,92.55,90.96,91.01,2346400
2025-01-16,90.02,90.96,89.55,90.5,1142600
2025-01-15,91.57,91.92,90.06,90.52,1095400
2025-01-14,89.88,91.41,89.66,90.58,1188900
2025-01-13,88.95,90.16,88.5,89.61,1530000
2025-01-10,92.35,92.64,88.82,88.93,2434300
2025-01-08,92.31,94.29,91.5,93.36,1792300
2025-01-07,93.42,94.92,92.27,92.54,1298500
2025-01-06,93.98,95.1,93.11,93.39,1519800
2025-01-03,96.0,96.0,91.82,93.56,2323600
2025-01-02,96.67,97.23,95.06,95.42,1010100
2024-12-31,95.81,96.65,95.41,95.65,932100
2024-12-30,96.24,96.44,95.22,95.56,1087500
2024-12-27,97.51,97.68,96.13,96.97,724900
2024-12-26,96.72,98.11,96.5,97.96,946900
2024-12-24,96.13,97.17,96.05,96.91,541700
2024-12-23,95.73,96.71,95.4,96.6,1365700
2024-12-20,94.25,96.32,93.93,95.89,3036100
2024-12-19,94.72,95.78,94.26,94.58,1518900
2024-12-18,97.75,97.8,93.97,94.12,1973200
2024-12-17,97.06,98.53,97.02,97.36,1552600
2024-12-16,98.41,99.83,97.2,97.3,1525900
2024-12-13,99.72,100.25,98.81,99.24,1564600
2024-12-12,99.19,100.39,99.01,100.0,1270000
2024-12-11,99.29,100.15,98.53,100.02,1371900
2024-12-10,99.12,99.6,97.76,98.78,1272800
2024-12-09,97.75,100.32,97.68,99.12,1344900
2024-12-06,98.08,99.22,97.79,98.06,1467700
2024-12-05,98.67,98.84,97.21,97.4,1523500
2024-12-04,97.53,99.03,97.22,98.3,1529800
2024-12-03,97.06,98.18,96.79,97.53,1853700
2024-12-02,95.5,98.7,95.35,97.93,3159500
2024-11-29,93.76,94.86,93.68,94.02,830800
2024-11-27,93.38,94.53,93.12,93.86,1540900
2024-11-26,94.66,94.9,92.83,93.1,1678500
2024-11-25,93.82,94.9,93.05,94.64,2929000
2024-11-22,90.96,93.2,90.74,92.9,2730100
2024-11-21,88.42,91.2,88.0,91.08,2083200
2024-11-20,87.09,88.19,86.56,87.96,1517100
2024-11-19,84.85,87.42,84.7,87.36,2370600
2024-11-18,87.43,88.18,85.59,85.96,2426000
2024-11-15,88.86,89.56,86.78,87.43,2616600
2024-11-14,88.74,89.54,88.24,88.35,2428100
2024-11-13,89.21,90.16,88.5,88.75,2402800
2024-11-12,91.5,91.5,89.74,90.08,2849000
2024-11-11,91.65,92.18,89.77,91.07,3312500
2024-11-08,97.91,98.3,89.27,89.37,9015300
2024-11-07,104.74,104.99,103.19,104.4,2611000
2024-11-06,103.35,105.26,102.82,104.71,2179300
2024-11-05,99.8,101.37,98.93,100.96,2436700
2024-11-04,100.5,101.06,99.84,100.04,1748700
2024-11-01,101.16,101.87,100.22,100.57,1373200
2024-10-31,101.72,101.97,100.54,101.08,1954300
2024-10-30,102.96,104.13,101.65,101.85,2247000
2024-10-29,102.84,103.85,102.28,102.96,1106900
2024-10-28,102.94,103.24,102.24,102.85,930700
2024-10-25,103.35,103.71,101.57,101.97,898200
2024-10-24,102.68,104.17,102.68,102.8,1188100
2024-10-23,105.46,105.5,102.52,102.72,1479400
2024-10-22,105.98,105.98,105.05,105.46,1083600
2024-10-21,106.5,106.76,105.4,106.15,1392000
2024-10-18,105.2,106.8,104.76,106.67,1622700
2024-10-17,103.67,105.17,102.71,104.73,1301500
2024-10-16,103.31,103.63,102.74,103.58,2306100
2024-10-15,103.29,104.69,103.06,103.29,1123000
2024-10-14,104.71,104.71,102.88,103.57,870900
2024-10-11,103.42,104.59,102.79,104.22,989000
2024-10-10,102.97,103.56,102.71,103.42,762000
2024-10-09,101.48,103.19,101.43,103.11,1067500
2024-10-08,101.15,101.45,100.19,101.33,1028300
2024-10-07,101.25,101.79,100.92,101.17,1067000
2024-10-04,101.29,101.59,100.63,101.48,626800
2024-10-03,100.42,100.99,99.97,100.45,874200
2024-10-02,99.66,100.91,99.36,100.78,958100
2024-10-01,100.58,100.75,99.36,99.82,1687900
2024-09-30,101.43,101.65,99.97,100.95,2401500
2024-09-27,100.5,102.32,100.49,101.57,1095900
2024-09-26,100.62,101.0,99.87,100.11,1451600
2024-09-25,101.75,101.75,99.49,99.64,1141700
2024-09-24,100.99,102.49,100.58,101.84,1457800
2024-09-23,99.71,100.81,99.45,100.72,1381000
2024-09-20,99.16,99.86,98.36,99.52,1881100
2024-09-19,98.9,99.78,98.75,99.44,1463800
2024-09-18,97.83,98.37,96.84,97.41,1013800
2024-09-17,99.54,99.54,97.6,97.87,1393100
2024-09-16,98.49,99.43,98.14,99.29,1100500
2024-09-13,97.3,98.78,97.2,98.53,1026300
